tool_id,tool_name,tool_type,source,tool_url,short_description,category,capabilities,long_description,pricing
TOOL_0011,Dropbox,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69b31dc2110c8191b8b47dc98fe5a052,"Access, save and share files",,,"save this proposal to my Dropbox can you show me my vacation photo? can you generate a Dropbox shareable link for this PDF? The Dropbox plugin for ChatGPT connects your Dropbox files directly to ChatGPT. You can access files, save ChatGPT-generated content to Dropbox, and create sharing links without switching tools. Everything respects your existing Dropbox permissions, and ChatGPT only works with files you already have access to.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0012,Asana,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69616780bd208191b4fb44ba44f72b61,Turn chats into actions,,,"Create a project to track creative requests Adjust project before creating it in Asana Create task to track follow up actions Retrieve project status Work with your Asana tasks, subtasks, comments, due dates, and project details to create summaries, understand priorities, and prepare clear status updates.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0013,Canva,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_68df33b1a2d081918778431a9cfca8ba,"Create, review, edit designs",,,"Create some social media posts based on our October campaign brief Use these latest investor meeting notes to make a Q1 2026 pitch deck Can you resize this poster as an Instagram post for my online store? Bring your Canva design workflow into Codex and create, refine, and review designs through natural conversation. Available skills: Resize for social media: Adapt a design for Facebook, Instagram, and LinkedIn in one step. Bulk create: Generate multiple designs from spreadsheet data using a brand template. Edit designs: Update text, media, and formatting, or reposition and resize elements. Get design feedback: Receive structured feedback on visual hierarchy, layout, readability, consistency, and accessibility. Implement feedback: Review comment threads and apply clear, actionable changes. Brand check: Check colors, fonts, logo usage, and copy against your Brand Kit. Once installed, describe what you want in plain language or invoke Canva directly with @Canva. Try prompts like: - @Canva, resize this design for social media. - @Canva, create designs from this spreadsheet using my brand template. - @Canva, update the headline in this design. - @Canva, review this design’s visual hierarchy and readability. - @Canva, implement the feedback in the comment threads. - @Canva, check this design against my Brand Kit. Requirements: Connect your Canva account to use the plugin. Bulk Create requires an eligible Canva Enterprise plan. Want to take a more hands-on approach? Instantly open your design in Canva’s powerful editor for the final touches.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0014,Figma,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_68df038e0ba48191908c8434991bbac2,Design-to-code workflows powered by the Figma integration,,,"read the attached PRD and create a flowchart of the 2FA flow create a competitive analysis deck comparing travel platforms Figma workflows for implementing designs in code, creating Code Connect templates for published Figma components, and generating project-specific design system rules for repeatable Figma-to-code work.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0015,Gamma,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_698a098735908191989f5788d7ee317e,Create presentations and docs,,,"Make a gamma pitch deck about our new hotels, using the Lavender theme! Create an exec summary doc in gamma about the largest materials companies. Make a short gamma deck about a team offsite to NYC!! Create a gamma social post on the history of jazz with illustrations. With Gamma, you can turn your ideas into polished, professional content directly inside ChatGPT. Whether you're drafting a pitch deck, marketing brief, or team update, Gamma helps you create beautiful, on-brand presentations, documents, social posts, and webpages, without leaving your workflow. You can ask Gamma to: - ""Read this Gamma deck, "" - ""Turn this technical report into an executive summary."" - ""Build a marketing brief for our cybersecurity offering. Adapt it to a non-technical audience."" - ""Create a 4-slide pitch deck about a team offsite to Hawaii, add in some jokes."" - ""Design a project proposal document with a dark theme."" (Themes determine look and feel.)",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0016,Descript,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69f0dc45f6048191876c14c1016fe778,Edit video by chatting,,,"Descript is a video editor you can direct through conversation. Describe what you want — clean up a podcast episode, pull highlight clips from a webinar, translate a video into Spanish, or create one from scratch with a prompt. Descript handles the production: transcription, filler word removal, Studio Sound, captions, B-roll, clips, and more.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0017,Adobe (formerly Photoshop),ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69312da8e4dc81919370cb86fd172b6c,"Design, combine, and edit",,,"create a 10 second highlight video from my pottery tutorial resize these photos for my social media platforms create a promo flyer for my yoga studio Adobe unlocks more ways to create and get work done from the conversation. Previously available as Photoshop, the Adobe connector now brings creativity and productivity capabilities across Creative Cloud and Acrobat. Describe what you want to make or change, and Adobe can help turn ideas, images, videos, and documents into polished outputs — from editing photos and creating PDFs to designing social assets, resizing videos, searching Creative Cloud assets, and generating data-driven documents. Key capabilities: * Retouch portraits or edit photos in bulk: Drop in photos and describe the look you want — adjust color, lighting, and tone; remove distractions and generate new elements; apply Lightroom presets; remove backgrounds; blur, crop, resize, and expand images. * Design from template: Start from an Express template, update text and colors, and then animate for social media or convert to PDF. * Refine video for any platform: Upload a horizontal clip and ask to reformat it for YouTube Shorts, Instagram Reels, or any platform. You can also stitch clips into a single sequence. * Search and organize creative work: Describe what you're looking for and surface assets from your Creative Cloud library — by subject, style, mood, or content — without browsing folders. * Work with PDFs and documents: Create and convert polished PDFs and documents. * Create data-driven documents: Describe your output and provide your data — the connector turns raw data or content into formatted, shareable PDFs, including badges, cards, catalogs, and more. You can get started as a guest, and sign in with your Adobe account for more capabilities and tools, Creative Cloud storage, and saved work across sessions.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0018,Supabase,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69d3e5ee6a708191baa733f7b8931995,Manage and query databases,,,"Help me build a note taking app Create an edge function that summarizes notes Is my database secure? Official Supabase plugin for Codex. Includes agent skills for Supabase development and Postgres best practices, plus MCP server integration for managing your Supabase projects directly from Codex.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0019,OpenAI Developers,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_32dba5a7095c8191adca04ee30276304,"Develop AI apps, agents, and ChatGPT Apps with OpenAI best practices",,,"Use OpenAI Developers in Codex to build AI applications, agents, and ChatGPT Apps with OpenAI docs, the OpenAI API, Apps SDK, and Agents SDK. Connect to the OpenAI Platform (platform.openai.com) and see your Codex-built apps work right out of the box with real OpenAI API keys. Run and locally deploy Agents SDK projects through the Deployment Manager, scaffold ChatGPT Apps, and prepare ChatGPT Apps submission artifacts.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0020,Vercel,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_690a90ec05c881918afb6a55dc9bbaa1,Search docs and deploy apps,,,"Bring Vercel ecosystem guidance into Codex with curated skills and the connected Vercel app. Packages the upstream vercel/vercel-plugin skills, agents, and commands under the local `vercel` plugin identity for the Codex plugin marketplace.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0021,Hugging Face,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6939e86417648191b7bda087d872685b,"Inspect models, datasets, Spaces, and research",,,"Connect to the Hugging Face Hub to explore Models and Datasets, access SDK Documentation and more. Manage Machine Learning Jobs and connect to thousands of AI applications via Spaces.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0022,Lovable,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_693a0a79ffe48191901173077edcf914,Build apps and websites,,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0023,HubSpot,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_697acb8e53d88191bf7a79e62012ae14,Insights to action in HubSpot,,,"Work with your HubSpot data to analyze patterns, create and update records, and manage your CRM operations. Read from and write to deals, contacts, companies, tickets, engagements, and other objects you have permission to access. Prepare reports, update deal stages, log calls and emails, create tasks, or review pipeline details before meetings. Use it for quick updates in chat or comprehensive CRM management, all grounded in your actual HubSpot data.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0024,Attio,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6981f663d5cc8191ae0d5717a05ccc89,Manage your CRM with ChatGPT,,,"Summarize feedback from recent calls Attio connects Codex directly to your CRM workspace, letting you manage customer relationships through natural conversation. Search and filter contacts, companies, and deals with flexible queries. Create, update, and organize records without switching between screens. Add notes, manage tasks, and track your sales pipeline—all through simple requests. Key capabilities: - Search records using powerful filters (find companies by size, industry, last contact date) - Create and update people, companies, and deal records - Manage notes attached to any record - Track and complete tasks - Navigate lists and organize your data Whether you're preparing for a meeting, updating deal stages, or researching prospects, Attio brings your CRM data into your conversation — no manual data entry required.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0025,Clay,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69377d07cd9c8191a988f06f15b8c674,GTM Data and Functions,,,Find GTM Leaders at Conclusive AI Find and engage prospects,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0026,Intercom,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_c906c3aa77588191840b20b3ab10dd74,"Customer conversations, contacts, tickets, and support workflows from Intercom",,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0027,PostHog,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_699caef2d680819188727b0ddbb349dd,Analyze your product data,,,"Show me the current A/B split for my ship variant button experiment Show me the number of page views from the last 7 days PostHog gives your AI agent direct access to your product analytics, feature flags, experiments, error tracking, surveys, logs, and LLM analytics. Ask questions about your data, create insights, toggle feature flags, analyze errors, search docs, and more — all from chat.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0028,Mixpanel,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69b2e9aed45c8191b254b207dfcc2bb4,Query and analyze Mixpanel,,,"Query and analyze your Mixpanel data directly in ChatGPT. Run segmentation, funnel, and retention analyses, explore your event taxonomy, manage Lexicon metadata, and resolve data quality issues - all without leaving your conversation. With the Mixpanel MCP server connected, ChatGPT can reason about your product analytics alongside your code, documents, and decisions. Ask questions in plain language, drill into user behavior, and get answers grounded in your actual data.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0029,Amplitude,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_690e2dabf430819196f8b3701ec838ec,Product intelligence,,,"Amplitude is a product intelligence platform that helps teams understand user behavior, measure impact, and decide what to build next. Connect your Amplitude workspace in ChatGPT to search charts and dashboards, query metrics and experiment results, explore events and properties, and create or update charts, dashboards, and alerts — without leaving the conversation.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0030,Ramp Data,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69f4ff416e948191b53586c77b559615,Analyze Ramp economic data,,,"Ramp Rate metrics for Salesforce, HubSpot, and Datadog? Ramp Data MCP enables ChatGPT users to access Ramp Data from billions of dollars in real corporate spend across 50,000+ businesses, including Ramp Rate (vendor adoption, pricing, and switching trends) and the AI Index (how businesses are spending on AI). Ramp Data is used by founders, procurement leads, researchers, investors, and policy analysts and is cited by leading publications like NYT, WSJ, Bloomberg, and more.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0031,Slack,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69a1d78e929881919bba0dbda1f6436d,Read and manage Slack,,,"Summarize activity in Slack this month Use Slack to summarize channels, draft messages, and organize team conversations through the connected Slack integration.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0032,Outlook Email,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_6bcb5879c73c819196abc70016166099,Triage Outlook inboxes and draft replies,,,"Use Outlook Email to triage inboxes, summarize threads, extract actions, and draft replies or forwards through the connected Microsoft Outlook app.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0033,Teams,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_eba8b52fe53881918408d4b46b957644,Summarize Teams and draft follow-ups,,,"Use Teams to summarize chats, extract actions, and draft channel or meeting follow-ups through the connected Microsoft Teams app.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0034,Superhuman Mail,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69a21e4058dc8191a6220fa911310d7b,The most productive email app,,,"draft an email introducing myself to Lauren summarize replies to the Founders Dinner and who hasn't opened it use the morning brief to summarize how my day ahead Connect Superhuman Mail to build powerful workflows and automations for email and calendar. Search your inbox and calendar, summarize what matters, draft replies in your voice, prepare for meetings, check read statuses, follow up, and send emails or schedule events with your approval.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0035,Zoom,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69373a13116c819189d046aea1278836,Smart meeting insights from Zoom,,,"Zoom connects Codex to Zoom meeting context through the Zoom app connector and provides developer workflows for planning, building, debugging, and reviewing Zoom integrations across APIs, SDKs, webhooks, WebSockets, bots, and automation use cases.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0036,Consensus,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_6943e6f4a928819195962de16fb9ffe4,Explore scientific research,,,"Does bilingual education benefit cognitive development? Are there interactions between atorvastatin and grapefruit juice? Create a table comparing the environmental benefits, challenges, and costs Consensus is the go-to MCP for academic research. Connect directly to 220M+ peer-reviewed papers to search, synthesize, and build structured research outputs from within your conversation. Run literature reviews, build boolean search strategies, generate bibliographies, identify research gaps, and draft cited content — grounded in studies from PubMed, Semantic Scholar, and ArXiv. Pre-built workflows handle complex tasks in minutes: systematic reviews, curriculum reading lists, grant research with novelty analysis, and clinical evidence synthesis. Built for researchers, students, faculty, and clinicians across biomedical, social science, STEM, and all academic disciplines.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
